Precinct,"Address (street, city, state, zip)",Latitude,Longitude
ARKADELPHIA FIRE DEPT_,"5023 Co Rd 35, Bremen, AL 35033",33.903182,-86.9595104
BAILEYTON SR_ CTR,"195 Fire Station Road Baileyton, AL 35019",34.26730144740898,-86.61534441735608
BALDWIN FAMILY LIFE CTR,"95 Co Rd 1153, Cullman, AL 35057",30.380708007529964,-87.54758364400627
BATTLEGROUND FIRE DEPT_,"239 Co Rd 1101, Vinemont, AL 35179",34.3052192,-86.9998664
BEAT 8 COMM CTR,"63 Co Rd 15, Bremen, AL 35033",34.170184722741766,-85.79296297939575
BERLIN COMM CTR,"3309 US-278, Cullman, AL 35055",34.18101811065093,-86.76249581954484
BETHEL COMM CTR,"12 Co Rd 1117, Cullman, AL 35057",32.34039681910144,-86.01715260984169
BETHSADIA FIRE DEPT_,"454 Co Rd 804, Cullman, AL 35057",34.1508373,-86.9283815
BOLTE WHITE GROVE,"1350 County Road 702, Cullman, AL 35055",34.13405522568255,-86.79606834062568
BREMEN FIRE DEPT_,"28277 County Rd 222, Cullman, AL 35057",33.01777181532507,-85.34659054560713
BROOKLYN COMM CTR,"954 Brooklyn Rd, Holly Pond, AL 35083",34.20914376616112,-86.60747059376742
BRUSHY POND COMM CTR,"2729 Co Rd 143, Bremen, AL 35033",34.0343034,-87.00616000000001
CENTER HILL COMM CTR,"12666-, 12754 Co Rd 747, Hanceville, AL 35077",34.0931389,-86.72744639999999
COLD SPRGS COMM CTR,"8869 Co Rd 109, Bremen, AL 35033",33.981259,-87.029839
COLONY ED_ COMPLEX,"151 Byars Rd, Hanceville, AL 35077",33.94829535,-86.88703367276966
COURTHOUSE CONF_ ROOM,"500 2nd Ave SW, Cullman, AL 35055",34.13892194365994,-86.82310226242139
CRANE HILL FIRE DEPT_ COMM BLD,"15123 County Road 222, Crane Hill, AL 35053",34.067309989757526,-87.08916208948519
CULLMAN CITY HALL,"204 2nd Ave NE, Cullman, AL 35055",34.1798073,-86.84256812792157
CULLMAN CO_ HEALTH DEPT_,"601 Logan Ave SW, Cullman, AL 35055",34.15639959013829,-86.8655922933129
CULLMAN OFFICE BLDG_,"402 Arnold St NE, Cullman, AL 35055",34.18057613181076,-86.8421600931677
DODGE CITY COMM CTR,"130 Howard Cir, Hanceville, AL 35077",34.04931031231693,-86.8711338372918
DONALD E_ GREEN SR CTR,"1625 Cleveland Ave SW, Cullman, AL 35055",34.162156299871995,-86.85241758043422
EAST POINT COMM CTR,"AL-69, Cullman, AL 35055",34.16712337433234,-86.81686233961425
FAIRVIEW FIRE DEPT_ A-K,"7555 AL-69, Cullman, AL 35058",34.18660475277857,-86.79008592267392
FAIRVIEW TOWN HALL_ L-Z,"7525 AL-69, Cullman, AL 35058",34.18660475277857,-86.79008592267392
FRIENDSHIP METHODIST,"1104 Co Rd 1435, Cullman, AL 35058",34.2183851,-86.8295286
GARDEN CITY TOWN HALL,"501 1st Ave S, Hanceville, AL 35077",34.01506605838189,-86.74834997544353
GOLD RIDGE COMM CTR,"5225 Co Rd 1545, Cullman, AL 35058",34.2630244,-86.7503996
GOOD HOPE CITY HALL,"135 Municipal Drive, Cullman, AL 35057",33.628704173269924,-86.90704390623931
GRANDVIEW COMM CTR,"237 Co Rd 421, Cullman, AL 35057",34.1249447,-86.9052358
HANCEVILLE CITY HALL,"112 Main St SE, Hanceville, AL 35077",31.779991065569604,-87.723056837431
HANCEVILLE CIVIC CTR,"902 Commercial St, Hanceville, AL 35077",34.05657513311466,-86.78728288630668
HOLLY POND FIRE DEPT_,"10915 US-278, Holly Pond, AL 35083",34.174147720999514,-86.60234745454962
JONES CHAPEL FIRE DEPT_,"96 County Rd 940, Cullman, AL 35057",34.207525,-87.053552
JOPPA FIRE DEPT_,"15437 AL-69, Joppa, AL 35087",34.2946529,-86.569079
KELLEY COMM CTR,"1270 Co Rd 1435, Vinemont, AL 35179",34.2205344,-86.8287204
LOGAN FIRE DEPT_,"4225 Co Rd 818, Logan, AL 35098",34.1377193,-87.0082257
MOODY TOWN UNION HILL,"17633 AL-91 W, Hanceville, AL 35077",33.9716544,-86.8323228
NEW CANAAN SR_ CTR,"2506 U.S. Highway 231 South, Arab, AL 35016",34.2882197,-86.4961719
PROVIDENCE FIRE DEPT_,"60 Ridgeway St, Cullman, AL 35058",34.23832295455722,-86.86400268509755
SIMCOE COMM CTR,"4235 AL-69 NORTH, Cullman, AL 35058",34.31767830654868,-86.49577149558267
STOUTS MTN_ BAPTIST,"3775 Co Rd 522, Hanceville, AL 35077",34.0350893,-86.8362063
TRIMBLE FIRE DEPT_,"7744 Co Rd 813, Cullman, AL 35057",34.0951331,-86.9491353
VALLEY GROVE COMM CTR,"308 Co Rd 426, Cullman, AL 35057",34.0692862,-86.9207828
VINEMONT COMM CTR,"88 Ridgeway St, Cullman, AL 35058",34.23832295455722,-86.86400268509755
WALTER COMM CTR,"85-299 Co Rd 663, Cullman, AL 35055",34.1196092,-86.6788816
WELTI MT_ ZION,"5041 County Rd 703, Cullman, AL 35055",34.1397186,-86.742409
WEST POINT COMM CTR,"3990 Co Rd 1141, West Point, AL 35179",34.2401118,-86.956812
WHITE CITY COMM CTR,"1540 Co Rd 617, Hanceville, AL 35077",34.0963765,-86.7706943
