Precinct,"Address (street, city, state, zip)",Latitude,Longitude,GeocodeSource
A & M UNIVERSITY NEW GYM,"4900 Meridian Street NW, Normal, AL, 35762",34.7838707,-86.5775697,Google
ALDERSGATE UMC,"12901 Bailey Cove Rd SE, Huntsville, AL, 35803",34.6235061,-86.5369414,Nominatim
BOB HARRISON SR_ CTR_,"6156 Pulaski Pike NW, Huntsville, AL, 35810",34.80620873266428,-86.6270196114253,Nominatim
BOBO VFD,"585 Ed Baeder Rd, Hazel Green, AL, 35750",34.9551166,-86.6406908,Google
BROWNSBORO BAPT CH,"4315 US-72, Brownsboro, AL, 35741",34.75134058275156,-86.46097027070817,Nominatim
CAVALRY HILL COMMUNITY CTR,"2900 Fairbanks St NW, Huntsville, AL, 35816",34.737856352942885,-86.61284184140759,Nominatim
CH OF JESUS CHRIST LDS,"1297 Slaughter Rd, Madison, AL, 35758",34.73261653563749,-86.7082330493798,Nominatim
CHASE PARK CH OF CHRIST,"1640 Winchester Rd NE, Huntsville, AL, 35811",34.79255566936034,-86.55621703045333,Nominatim
CLUBHOUSE ON GREEN MTN,"13010 South Village Square Road, Huntsville, AL, 35803",34.60389504734518,-86.52372284518415,Nominatim
CO_ COMMISSION DIST_ 1,"9457 Moores Mill Rd, New Market, AL, 35761",34.9022396,-86.52790220000001,Google
COMM_ FELLOWSHIP,"7905 Logan Dr SW, Huntsville, AL, 35802",34.65679070400949,-86.57473573255132,Nominatim
CORNERSTONE PRESBYTERIAN,"1413 McClung Ave SE, Huntsville, AL 35801",34.729386079760936,-86.56843224187784,Nominatim
COVE UMC,"366 Old 431 Hwy, Owens Cross Roads, AL, 35763",34.60661780025993,-86.4582386008359,Nominatim
COVENANT PRESBYTERIAN CH,"301 Drake Ave SE, Huntsville, AL, 35802",34.70687676924371,-86.5406241373309,Nominatim
CROSS ROADS COMM CTR,"11329 Pulaski Pike, Toney, AL, 35773",34.91511430000001,-86.716263,Google
DAYSTAR CH-MADISON,"171 Trademark Dr SW, Huntsville, AL, 35824",34.6548498,-86.7499639,Google
DR_ RICHARD SHOWERS CTR_,"4600 Blue Spring Rd NW, Huntsville, AL, 35810",34.76797367438597,-86.59895008831528,Nominatim
FAITH LUTHERAN CH,"660 Gillespie Rd, Madison, AL, 35758",34.72887458600992,-86.75888925716339,Nominatim
FARLEY COMMUNITY CH,"12302 Bell Rd SW, Huntsville, AL, 35803",34.608368666007344,-86.57865992818769,Nominatim
FIRST BAPT CH,"600 Governors Drive SW, Huntsville, AL, 35801",34.7209122,-86.58905278881886,Nominatim
FIRST BAPT MERDIANVILLE,"175 Monroe Rd, Meridianville, AL, 35759",34.8595328,-86.5750862,Google
FIRST MISSIONARY BAPT,"3509 Blue Spring Rd NW, Huntsville, AL, 35810",34.76797367438597,-86.59895008831528,Nominatim
GURLEY REC_ CTR_,"311 3rd St, Gurley, AL 35748",34.69289220104939,-86.37774635114926,Nominatim
HAMPTON COVE CH CHRIST,"409 Old Big Cove Rd, Brownsboro, AL 35741",34.6775587,-86.5001039,Google
HAROLD HARBIN GYM,"172 Carriger Rd, Hazel Green, AL 35750",34.961154,-86.5648259,Google
HILLWOOD BAPT CH,"300 Kohler Rd SE, Huntsville, AL 35803",34.629092677562305,-86.56584000236002,Nominatim
HOPE CHURCH,"1111 Pulaski Pike NW, Huntsville, AL 35816",34.7356899,-86.6023457,Nominatim
HOPE VALLEY BIBLE CH,"2135 US-72, Huntsville, AL 35811",34.77096351049379,-86.49979078676657,Nominatim
HOUSE OF HOPE & RESTORATION,"2525 Aspen Ave NW, Huntsville, AL 35810",34.762418258584404,-86.63359598401348,Nominatim
INDIAN CREEK BAPT CH,"380 Indian Creek Rd NW, Huntsville, AL 35806",34.7667337,-86.6885910501922,Nominatim
